[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': 'ea71af0d-b09e-4329-9093-e5cc69b0bb10', 'ip': '10.25.174.54', 'hostname': 'iZbp17p5hshcy0jdtenu3cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.174.99', 'cpu_count': 4, 'memory': 8192}
{'id': 'f010d126-1e42-46c2-87d0-38a63cb31205', 'ip': '10.252.226.141', 'hostname': 'iZbp13fdhfs9lqkl6bfil6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.10.168', 'cpu_count': 4, 'memory': 16384}
{'id': '07298604-d1c4-449e-9723-ef947d5c7a7b', 'ip': '10.252.217.122', 'hostname': 'iZbp13fdhfs9lqkl6bfil4Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.145', 'cpu_count': 4, 'memory': 16384}
{'id': 'c467791f-5bce-4c2b-b58f-8d29c1093dca', 'ip': '10.252.224.69', 'hostname': 'iZbp13fdhfs9lqkl6bfil5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.137', 'cpu_count': 4, 'memory': 16384}
{'id': 'ab097151-8710-4651-a6f1-4ca9fdd3501b', 'ip': '10.252.212.241', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1sZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '40c29d38-e118-4cdd-a902-6283552503ba', 'ip': '10.252.226.131', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1rZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '3bfe90d2-2e80-41c0-9715-e0ffda6bf57e', 'ip': '10.252.226.78', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1uZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '5c1b941a-aa0c-4108-a2c2-073b9f52938e', 'ip': '10.252.224.28', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1tZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '5ae84103-5f19-4d67-9992-f2d39ead9b7f', 'ip': '10.252.226.133', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '34f7f2cb-abec-4819-8d9d-48d9113b0a82', 'ip': '10.252.223.128', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
