[<aliyunsdkcore.client.AcsClient object at 0x111269e10>]
{'id': 'adb91f0e-c09f-415b-95e7-175744976505', 'ip': '10.252.224.69', 'hostname': 'iZbp13fdhfs9lqkl6bfil5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.137', 'cpu_count': 4, 'memory': 16384}
{'id': '333cd91b-9a3a-49a1-9b71-032e441fb57e', 'ip': '10.252.212.241', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1sZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': 'b8f617e9-5358-42cb-9973-99c8c91d1d28', 'ip': '10.252.226.131', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1rZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '79f15642-bcfe-43a8-a3c6-6146308ffe07', 'ip': '10.252.226.78', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1uZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': 'e2e2df62-c9ce-4d72-a12b-b564dde35843', 'ip': '10.252.224.28', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1tZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '180fbf07-0cc5-4471-8085-a905933f3944', 'ip': '10.252.226.133', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '8aa88924-d0b8-42d6-ba75-e206e1235ec7', 'ip': '10.252.223.128', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '31e5031d-b53f-4116-8a1b-37ba5cbc19d7', 'ip': '10.252.221.7', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1qZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '14da6f43-2953-4497-ae1c-b7a506e263f7', 'ip': '10.252.222.202', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '2a107732-0581-434a-baff-5e8c4794ae6f', 'ip': '10.252.225.120', 'hostname': 'iZbp1452lotbq8lqnz52y0Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '5ffad676-9417-4972-bfb1-7fce5e02f955', 'ip': '10.252.215.224', 'hostname': 'iZbp1ghq1mq4s4qoarcdf5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.64', 'cpu_count': 4, 'memory': 4096}
{'id': '633596a8-f907-4801-808b-338b93da8b36', 'ip': '10.252.208.232', 'hostname': 'iZbp1j4tmbjcb68w6gmbydZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.13.103', 'cpu_count': 4, 'memory': 4096}
{'id': '9f010255-562a-4236-8a75-0661768e897e', 'ip': '10.252.224.186', 'hostname': 'iZbp1hbv3lrr68g2xa08u1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.110', 'cpu_count': 4, 'memory': 4096}
{'id': 'f0acce1f-aafa-4b20-ad1c-5149c11cc316', 'ip': '10.252.214.195', 'hostname': 'iZbp1hbv3lrr68g2xa08twZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.228', 'cpu_count': 4, 'memory': 4096}
{'id': 'facae694-69c0-416a-9d04-30ef6ffebfe8', 'ip': '10.47.104.188', 'hostname': 'iZbp10yfdqf57xph0pz43xZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.131.137', 'cpu_count': 4, 'memory': 8192}
{'id': '799bb07a-417a-4a86-b51a-9c2bf371eb1c', 'ip': '10.47.163.34', 'hostname': 'iZbp1c4vask3fyfnt9rj7lZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.199.46', 'cpu_count': 4, 'memory': 8192}
{'id': '31b937b3-89fa-4a7d-841a-0c7647079c2b', 'ip': '10.47.163.44', 'hostname': 'iZbp1c4vask3fyfnt9rj7kZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '121.196.244.244', 'cpu_count': 4, 'memory': 8192}
{'id': '5cf41f0f-e161-4719-a092-d7b10e481b20', 'ip': '10.25.171.180', 'hostname': 'iZbp15i1wuu3o9sn6fgcwaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '071a6222-3d91-49f7-b647-eb2f55ed22b6', 'ip': '10.24.36.200', 'hostname': 'iZbp176helegzn7ypttn87Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 1, 'memory': 4096}
{'id': 'f69787f8-52b0-4cd6-9cc9-4d5b91620d45', 'ip': '10.252.213.90', 'hostname': 'iZbp166vsxc3yyqdtg9b8oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.242', 'cpu_count': 4, 'memory': 8192}
{'id': 'f9cd609a-3ac0-4178-acf1-839162523a21', 'ip': '10.117.3.55', 'hostname': 'iZbp166vsxc3yyqdtg9b8pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.195.24', 'cpu_count': 4, 'memory': 8192}
{'id': 'dacfe1a3-b5d8-4e22-a1e0-f9e54f98e688', 'ip': '10.28.15.216', 'hostname': 'iZbp19zpj9k5noa39s7q3nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.136', 'cpu_count': 4, 'memory': 16384}
{'id': '64abb0ca-0ff1-46d9-8cf2-f66a03e2fb44', 'ip': '10.172.201.47', 'hostname': 'iZbp19zpj9k5noa39s7q3mZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.148', 'cpu_count': 4, 'memory': 16384}
{'id': '6731e72a-8349-48da-b983-069cef5ac252', 'ip': '10.24.26.224', 'hostname': 'iZbp10g1ws14xxeheaw285Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'd462aa26-d2c2-4bb6-bca3-9b245034223d', 'ip': '10.45.53.26', 'hostname': 'iZbp10g1ws14xxeheaw286Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'af5d218e-fc85-4744-8657-41ea40a6b666', 'ip': '10.27.6.35', 'hostname': 'iZbp10g1ws14xxeheaw287Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '25c86303-6d7c-47d6-93b8-285c87c59696', 'ip': '10.25.172.248', 'hostname': 'iZbp10g1ws14xxeheaw288Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '5eb212f9-902a-42cb-b126-a64927afbccc', 'ip': '10.47.49.32', 'hostname': 'iZbp14z3t1xyym18h5ztm5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': '0debf744-f443-4972-9372-be6d5bfc21bc', 'ip': '10.27.6.168', 'hostname': 'iZbp174tqmt4v3t91dqhtcZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '3c112c15-8c6b-4a47-8b46-c24dac22bed7', 'ip': '10.47.88.101', 'hostname': 'iZbp174tqmt4v3t91dqhtaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'a8d8871b-7e32-40ec-a598-e8a59a5ff2f6', 'ip': '10.26.20.128', 'hostname': 'iZbp174tqmt4v3t91dqhtbZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'c933251a-70d7-4d23-a1d6-33a392be4f2b', 'ip': '10.25.2.173', 'hostname': 'iZbp174tqmt4v3t91dqht9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'e82e61ee-029b-4b42-9563-631c11fd39a6', 'ip': '10.26.21.189', 'hostname': 'iZbp174tqmt4v3t91dqhtdZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '345fb8ea-d681-4e36-a108-b631b9bba5d2', 'ip': '10.27.2.51', 'hostname': 'iZbp174tqmt4v3t91dqhteZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '6e63f594-ebc7-407f-a79c-a4428f9f1d6b', 'ip': '10.25.172.199', 'hostname': 'iZbp15ev6nlhq34txzicrxZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.234.12', 'cpu_count': 8, 'memory': 32768}
{'id': '626f7102-1f20-4961-ad44-12e2e6f37bf2', 'ip': '10.27.4.199', 'hostname': 'iZbp15ev6nlhq34txzicrtZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '116.62.31.180', 'cpu_count': 8, 'memory': 32768}
