[<aliyunsdkcore.client.AcsClient object at 0x109448978>]
{'id': '30bc6896-c8cf-4d99-9b16-cdd1c2173dce', 'ip': '10.252.225.219', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.3', 'cpu_count': 8, 'memory': 32768}
{'id': 'e1e93f0e-230f-4a7c-861e-4b0bc116859b', 'ip': '10.252.215.205', 'hostname': 'iZbp1f9golo2wydcr5rco7Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '06816298-0740-4f36-80a5-ee645c72b283', 'ip': '10.252.226.226', 'hostname': 'iZbp1f9golo2wydcr5rco8Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '80a7975a-66a1-4552-b0a5-a38812767317', 'ip': '10.252.216.129', 'hostname': 'iZbp1f9golo2wydcr5rco6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'a14ba493-65d4-4414-97db-e9efd2665d23', 'ip': '10.46.226.147', 'hostname': 'iZbp1i02d9n5g3t0zd6xifZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': 'bf5a101d-bc58-4adc-a732-dc26f2fbcc5e', 'ip': '10.25.174.54', 'hostname': 'iZbp17p5hshcy0jdtenu3cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.174.99', 'cpu_count': 4, 'memory': 8192}
{'id': '1540ae18-38c5-4a31-8c6f-360aa7cfb7d3', 'ip': '10.252.226.141', 'hostname': 'iZbp13fdhfs9lqkl6bfil6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.10.168', 'cpu_count': 4, 'memory': 16384}
{'id': '05daaf3a-bfed-47eb-bc8e-fd88f9873031', 'ip': '10.252.217.122', 'hostname': 'iZbp13fdhfs9lqkl6bfil4Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.145', 'cpu_count': 4, 'memory': 16384}
{'id': 'e87b532b-3d9d-4bd6-b428-978995ff34c5', 'ip': '10.252.224.69', 'hostname': 'iZbp13fdhfs9lqkl6bfil5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.137', 'cpu_count': 4, 'memory': 16384}
{'id': '5923f5b3-86bf-4da7-92b2-c56e5961e35f', 'ip': '10.252.212.241', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1sZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
